avaliacao_id,aluno_id,disciplina,nota,data
155,8,Geografia,43.8,2024-08-25
156,8,Português,30.3,2024-11-10
157,8,Matemática,37.5,2024-11-10
158,8,Ciências,63.4,2024-11-10
159,8,História,64.9,2024-11-10
160,8,Geografia,51.8,2024-11-10
161,9,Português,82.4,2024-03-15
162,9,Matemática,21.0,2024-03-15
163,9,Ciências,62.4,2024-03-15
164,9,História,75.6,2024-03-15
165,9,Geografia,49.5,2024-03-15
166,9,Português,53.9,2024-05-20
167,9,Matemática,0.0,2024-05-20
168,9,Ciências,77.2,2024-05-20
169,9,História,49.2,2024-05-20
170,9,Geografia,54.6,2024-05-20
171,9,Português,44.9,2024-08-25
172,9,Matemática,82.6,2024-08-25
173,9,Ciências,65.1,2024-08-25
174,9,História,50.0,2024-08-25
175,9,Geografia,58.1,2024-08-25
176,9,Português,61.8,2024-11-10
177,9,Matemática,58.6,2024-11-10
178,9,Ciências,71.6,2024-11-10
179,9,História,65.3,2024-11-10
180,9,Geografia,45.2,2024-11-10
181,10,Português,70.2,2024-03-15
182,10,Matemática,45.4,2024-03-15
183,10,Ciências,57.9,2024-03-15
184,10,História,55.9,2024-03-15
185,10,Geografia,62.4,2024-03-15
186,10,Português,82.3,2024-05-20
187,10,Matemática,23.8,2024-05-20
188,10,Ciências,95.5,2024-05-20
189,10,História,48.7,2024-05-20
190,10,Geografia,53.0,2024-05-20
191,10,Português,39.8,2024-08-25
192,10,Matemática,63.7,2024-08-25
193,10,Ciências,68.3,2024-08-25
194,10,História,83.9,2024-08-25
195,10,Geografia,70.1,2024-08-25
196,10,Português,88.6,2024-11-10
197,10,Matemática,61.2,2024-11-10
198,10,Ciências,31.6,2024-11-10
199,10,História,46.8,2024-11-10
200,10,Geografia,60.6,2024-11-10
201,11,Português,63.8,2024-03-15
202,11,Matemática,38.9,2024-03-15
203,11,Ciências,80.0,2024-03-15
204,11,História,44.8,2024-03-15
205,11,Geografia,66.5,2024-03-15
206,11,Português,65.8,2024-05-20
207,11,Matemática,36.5,2024-05-20
208,11,Ciências,71.0,2024-05-20
209,11,História,100.0,2024-05-20
210,11,Geografia,70.3,2024-05-20
211,11,Português,62.1,2024-08-25
212,11,Matemática,45.9,2024-08-25
213,11,Ciências,83.8,2024-08-25
214,11,História,45.7,2024-08-25
215,11,Geografia,40.8,2024-08-25
216,11,Português,32.5,2024-11-10
217,11,Matemática,43.2,2024-11-10
218,11,Ciências,64.3,2024-11-10
219,11,História,56.1,2024-11-10
220,11,Geografia,61.0,2024-11-10
221,12,Português,67.9,2024-03-15
222,12,Matemática,23.6,2024-03-15
223,12,Ciências,55.7,2024-03-15
224,12,História,86.7,2024-03-15
225,12,Geografia,69.7,2024-03-15
226,12,Português,75.2,2024-05-20
227,12,Matemática,55.8,2024-05-20
228,12,Ciências,73.9,2024-05-20
229,12,História,77.7,2024-05-20
230,12,Geografia,71.7,2024-05-20
231,12,Português,52.4,2024-08-25
232,12,Matemática,56.2,2024-08-25
233,12,Ciências,73.4,2024-08-25
234,12,História,71.0,2024-08-25
235,12,Geografia,67.4,2024-08-25
236,12,Português,58.9,2024-11-10
237,12,Matemática,66.6,2024-11-10
238,12,Ciências,71.1,2024-11-10
239,12,História,64.3,2024-11-10
240,12,Geografia,85.3,2024-11-10
241,13,Português,52.9,2024-03-15
242,13,Matemática,11.9,2024-03-15
243,13,Ciências,52.4,2024-03-15
244,13,História,56.7,2024-03-15
245,13,Geografia,82.4,2024-03-15
246,13,Português,69.6,2024-05-20
247,13,Matemática,3.3,2024-05-20
248,13,Ciências,72.4,2024-05-20
249,13,História,63.0,2024-05-20
250,13,Geografia,39.0,2024-05-20
251,13,Português,61.4,2024-08-25
252,13,Matemática,3.5,2024-08-25
253,13,Ciências,65.4,2024-08-25
254,13,História,57.2,2024-08-25
255,13,Geografia,80.3,2024-08-25
256,13,Português,61.0,2024-11-10
257,13,Matemática,22.6,2024-11-10
258,13,Ciências,92.7,2024-11-10
259,13,História,82.3,2024-11-10
260,13,Geografia,73.8,2024-11-10
261,14,Português,77.5,2024-03-15
262,14,Matemática,32.4,2024-03-15
263,14,Ciências,68.5,2024-03-15
264,14,História,88.2,2024-03-15
265,14,Geografia,65.5,2024-03-15
266,14,Português,61.8,2024-05-20
267,14,Matemática,12.0,2024-05-20
268,14,Ciências,60.8,2024-05-20
269,14,História,44.9,2024-05-20
270,14,Geografia,63.4,2024-05-20
271,14,Português,47.2,2024-08-25
272,14,Matemática,24.0,2024-08-25
273,14,Ciências,66.5,2024-08-25
274,14,História,58.8,2024-08-25
275,14,Geografia,73.4,2024-08-25
276,14,Português,70.8,2024-11-10
277,14,Matemática,86.7,2024-11-10
278,14,Ciências,66.6,2024-11-10
279,14,História,69.3,2024-11-10
280,14,Geografia,71.2,2024-11-10
281,15,Português,45.8,2024-03-15
282,15,Matemática,69.0,2024-03-15
283,15,Ciências,65.2,2024-03-15
284,15,História,61.0,2024-03-15
285,15,Geografia,40.9,2024-03-15
286,15,Português,76.0,2024-05-20
287,15,Matemática,90.4,2024-05-20
288,15,Ciências,60.9,2024-05-20
289,15,História,71.6,2024-05-20
290,15,Geografia,69.7,2024-05-20
291,15,Português,57.7,2024-08-25
292,15,Matemática,39.3,2024-08-25
293,15,Ciências,37.5,2024-08-25
294,15,História,49.0,2024-08-25
295,15,Geografia,46.2,2024-08-25
296,15,Português,54.6,2024-11-10
297,15,Matemática,49.3,2024-11-10
298,15,Ciências,59.5,2024-11-10
299,15,História,34.7,2024-11-10
300,15,Geografia,92.1,2024-11-10
301,16,Português,47.2,2024-03-15
302,16,Matemática,73.0,2024-03-15
303,16,Ciências,67.3,2024-03-15
304,16,História,58.7,2024-03-15
305,16,Geografia,67.8,2024-03-15
306,16,Português,54.9,2024-05-20
307,16,Matemática,47.6,2024-05-20
308,16,Ciências,59.6,2024-05-20
309,16,História,80.5,2024-05-20
310,16,Geografia,57.9,2024-05-20
311,16,Português,47.5,2024-08-25
312,16,Matemática,85.3,2024-08-25
313,16,Ciências,73.2,2024-08-25
314,16,História,82.7,2024-08-25
315,16,Geografia,61.6,2024-08-25
316,16,Português,51.5,2024-11-10
317,16,Matemática,57.3,2024-11-10
318,16,Ciências,74.9,2024-11-10
319,16,História,37.7,2024-11-10
320,16,Geografia,37.8,2024-11-10
321,17,Português,38.1,2024-03-15
322,17,Matemática,31.1,2024-03-15
323,17,Ciências,57.3,2024-03-15
324,17,História,88.4,2024-03-15
325,17,Geografia,61.9,2024-03-15
326,17,Português,49.1,2024-05-20
327,17,Matemática,30.5,2024-05-20
328,17,Ciências,56.8,2024-05-20
329,17,História,54.0,2024-05-20
330,17,Geografia,73.5,2024-05-20
331,17,Português,25.8,2024-08-25
332,17,Matemática,72.5,2024-08-25
333,17,Ciências,73.5,2024-08-25
334,17,História,59.5,2024-08-25
335,17,Geografia,65.1,2024-08-25
336,17,Português,78.5,2024-11-10
337,17,Matemática,22.4,2024-11-10
338,17,Ciências,80.1,2024-11-10
339,17,História,43.7,2024-11-10
340,17,Geografia,61.8,2024-11-10
341,18,Português,27.8,2024-03-15
342,18,Matemática,69.7,2024-03-15
343,18,Ciências,79.1,2024-03-15
344,18,História,56.3,2024-03-15
345,18,Geografia,36.2,2024-03-15
346,18,Português,19.6,2024-05-20
347,18,Matemática,24.3,2024-05-20
348,18,Ciências,45.8,2024-05-20
349,18,História,57.0,2024-05-20
350,18,Geografia,68.4,2024-05-20
351,18,Português,64.7,2024-08-25
352,18,Matemática,33.3,2024-08-25
353,18,Ciências,51.0,2024-08-25
354,18,História,36.8,2024-08-25
355,18,Geografia,70.9,2024-08-25
356,18,Português,64.7,2024-11-10
357,18,Matemática,21.9,2024-11-10
358,18,Ciências,40.5,2024-11-10
359,18,História,79.1,2024-11-10
360,18,Geografia,79.9,2024-11-10
361,19,Português,51.4,2024-03-15
362,19,Matemática,17.4,2024-03-15
363,19,Ciências,42.3,2024-03-15
364,19,História,54.0,2024-03-15
365,19,Geografia,61.4,2024-03-15
366,19,Português,63.8,2024-05-20
367,19,Matemática,56.8,2024-05-20
368,19,Ciências,82.8,2024-05-20
369,19,História,63.0,2024-05-20
370,19,Geografia,50.1,2024-05-20
371,19,Português,69.7,2024-08-25
372,19,Matemática,46.8,2024-08-25
373,19,Ciências,57.3,2024-08-25
374,19,História,60.8,2024-08-25
375,19,Geografia,61.8,2024-08-25
376,19,Português,53.7,2024-11-10
377,19,Matemática,44.6,2024-11-10
378,19,Ciências,78.5,2024-11-10
379,19,História,75.8,2024-11-10
380,19,Geografia,83.5,2024-11-10
381,20,Português,93.1,2024-03-15
382,20,Matemática,18.8,2024-03-15
383,20,Ciências,65.7,2024-03-15
384,20,História,62.2,2024-03-15
385,20,Geografia,83.3,2024-03-15
386,20,Português,76.0,2024-05-20
387,20,Matemática,77.2,2024-05-20
388,20,Ciências,73.3,2024-05-20
389,20,História,80.0,2024-05-20
390,20,Geografia,76.1,2024-05-20
391,20,Português,56.4,2024-08-25
392,20,Matemática,32.0,2024-08-25
393,20,Ciências,24.9,2024-08-25
394,20,História,51.5,2024-08-25
395,20,Geografia,57.9,2024-08-25
396,20,Português,61.0,2024-11-10
397,20,Matemática,52.4,2024-11-10
398,20,Ciências,40.1,2024-11-10
399,20,História,70.2,2024-11-10
400,20,Geografia,53.7,2024-11-10
401,21,Português,79.7,2024-03-15
402,21,Matemática,60.2,2024-03-15
403,21,Ciências,35.1,2024-03-15
404,21,História,70.5,2024-03-15
405,21,Geografia,79.4,2024-03-15
406,21,Português,42.2,2024-05-20
407,21,Matemática,33.5,2024-05-20
408,21,Ciências,78.6,2024-05-20
409,21,História,71.0,2024-05-20
410,21,Geografia,100.0,2024-05-20
411,21,Português,67.2,2024-08-25
412,21,Matemática,26.3,2024-08-25
413,21,Ciências,34.4,2024-08-25
414,21,História,77.1,2024-08-25
415,21,Geografia,81.9,2024-08-25
416,21,Português,68.7,2024-11-10
417,21,Matemática,78.8,2024-11-10
418,21,Ciências,29.9,2024-11-10
419,21,História,70.4,2024-11-10
420,21,Geografia,55.9,2024-11-10
421,22,Português,61.0,2024-03-15
422,22,Matemática,18.3,2024-03-15
423,22,Ciências,80.8,2024-03-15
424,22,História,61.6,2024-03-15
425,22,Geografia,72.5,2024-03-15
426,22,Português,62.8,2024-05-20
427,22,Matemática,38.6,2024-05-20
428,22,Ciências,74.3,2024-05-20
429,22,História,62.9,2024-05-20
430,22,Geografia,72.9,2024-05-20
431,22,Português,65.4,2024-08-25
432,22,Matemática,14.6,2024-08-25
433,22,Ciências,58.5,2024-08-25
434,22,História,57.8,2024-08-25
435,22,Geografia,71.1,2024-08-25
436,22,Português,76.8,2024-11-10
437,22,Matemática,47.1,2024-11-10
438,22,Ciências,66.8,2024-11-10
439,22,História,64.1,2024-11-10
440,22,Geografia,100.0,2024-11-10
441,23,Português,46.8,2024-03-15
442,23,Matemática,62.4,2024-03-15
443,23,Ciências,58.6,2024-03-15
444,23,História,60.9,2024-03-15
445,23,Geografia,56.9,2024-03-15
446,23,Português,70.4,2024-05-20
447,23,Matemática,60.7,2024-05-20
448,23,Ciências,58.7,2024-05-20
449,23,História,69.5,2024-05-20
450,23,Geografia,62.4,2024-05-20
451,23,Português,65.5,2024-08-25
452,23,Matemática,47.7,2024-08-25
453,23,Ciências,73.7,2024-08-25
454,23,História,63.8,2024-08-25
455,23,Geografia,53.1,2024-08-25
456,23,Português,59.2,2024-11-10
457,23,Matemática,73.9,2024-11-10
458,23,Ciências,68.2,2024-11-10
459,23,História,66.3,2024-11-10
460,23,Geografia,52.1,2024-11-10
461,24,Português,41.6,2024-03-15
462,24,Matemática,56.5,2024-03-15
463,24,Ciências,62.6,2024-03-15
464,24,História,53.8,2024-03-15
465,24,Geografia,82.1,2024-03-15
466,24,Português,49.5,2024-05-20
467,24,Matemática,29.0,2024-05-20
468,24,Ciências,63.2,2024-05-20
469,24,História,82.1,2024-05-20
470,24,Geografia,53.1,2024-05-20
471,24,Português,82.2,2024-08-25
472,24,Matemática,39.1,2024-08-25
473,24,Ciências,43.8,2024-08-25
474,24,História,86.0,2024-08-25
475,24,Geografia,54.2,2024-08-25
476,24,Português,64.5,2024-11-10
477,24,Matemática,65.8,2024-11-10
478,24,Ciências,73.9,2024-11-10
479,24,História,40.4,2024-11-10
480,24,Geografia,65.6,2024-11-10
481,25,Português,69.3,2024-03-15
482,25,Matemática,13.9,2024-03-15
483,25,Ciências,54.5,2024-03-15
484,25,História,63.3,2024-03-15
485,25,Geografia,74.3,2024-03-15
486,25,Português,69.7,2024-05-20
487,25,Matemática,82.6,2024-05-20
488,25,Ciências,55.3,2024-05-20
489,25,História,66.8,2024-05-20
490,25,Geografia,50.0,2024-05-20
491,25,Português,50.1,2024-08-25
492,25,Matemática,48.9,2024-08-25
493,25,Ciências,68.5,2024-08-25
494,25,História,67.1,2024-08-25
495,25,Geografia,57.9,2024-08-25
496,25,Português,43.8,2024-11-10
497,25,Matemática,80.5,2024-11-10
498,25,Ciências,55.4,2024-11-10
499,25,História,66.3,2024-11-10
500,25,Geografia,69.5,2024-11-10
501,26,Português,60.5,2024-03-15
502,26,Matemática,86.0,2024-03-15
503,26,Ciências,71.4,2024-03-15
504,26,História,68.4,2024-03-15
505,26,Geografia,44.0,2024-03-15
506,26,Português,22.9,2024-05-20
507,26,Matemática,50.0,2024-05-20
508,26,Ciências,71.5,2024-05-20
509,26,História,64.9,2024-05-20
510,26,Geografia,60.7,2024-05-20
511,26,Português,46.7,2024-08-25
512,26,Matemática,15.6,2024-08-25
513,26,Ciências,74.1,2024-08-25
514,26,História,70.8,2024-08-25
515,26,Geografia,84.9,2024-08-25
516,26,Português,70.9,2024-11-10
517,26,Matemática,26.0,2024-11-10
518,26,Ciências,49.8,2024-11-10
519,26,História,42.0,2024-11-10
520,26,Geografia,42.2,2024-11-10
521,27,Português,52.4,2024-03-15
522,27,Matemática,26.5,2024-03-15
523,27,Ciências,53.1,2024-03-15
524,27,História,59.6,2024-03-15
525,27,Geografia,41.3,2024-03-15
526,27,Português,73.6,2024-05-20
527,27,Matemática,56.5,2024-05-20
528,27,Ciências,41.8,2024-05-20
529,27,História,83.5,2024-05-20
530,27,Geografia,95.0,2024-05-20
531,27,Português,55.3,2024-08-25
532,27,Matemática,47.1,2024-08-25
533,27,Ciências,75.3,2024-08-25
534,27,História,9.9,2024-08-25
535,27,Geografia,72.7,2024-08-25
536,27,Português,69.2,2024-11-10
537,27,Matemática,58.1,2024-11-10
538,27,Ciências,72.9,2024-11-10
539,27,História,63.5,2024-11-10
540,27,Geografia,57.8,2024-11-10
541,28,Português,46.6,2024-03-15
542,28,Matemática,73.9,2024-03-15
543,28,Ciências,41.1,2024-03-15
544,28,História,33.7,2024-03-15
545,28,Geografia,74.2,2024-03-15
546,28,Português,88.0,2024-05-20
547,28,Matemática,2.8,2024-05-20
548,28,Ciências,50.6,2024-05-20
549,28,História,55.1,2024-05-20
550,28,Geografia,70.4,2024-05-20
551,28,Português,35.5,2024-08-25
552,28,Matemática,22.8,2024-08-25
553,28,Ciências,60.2,2024-08-25
554,28,História,48.6,2024-08-25
555,28,Geografia,93.0,2024-08-25
556,28,Português,57.0,2024-11-10
557,28,Matemática,38.8,2024-11-10
558,28,Ciências,66.6,2024-11-10
559,28,História,65.1,2024-11-10
560,28,Geografia,63.0,2024-11-10
561,29,Português,83.6,2024-03-15
562,29,Matemática,42.1,2024-03-15
563,29,Ciências,50.7,2024-03-15
564,29,História,81.4,2024-03-15
565,29,Geografia,56.1,2024-03-15
566,29,Português,47.2,2024-05-20
567,29,Matemática,29.6,2024-05-20
568,29,Ciências,76.9,2024-05-20
569,29,História,69.7,2024-05-20
570,29,Geografia,40.4,2024-05-20
571,29,Português,28.1,2024-08-25
572,29,Matemática,42.3,2024-08-25
573,29,Ciências,91.0,2024-08-25
574,29,História,63.6,2024-08-25
575,29,Geografia,52.5,2024-08-25
576,29,Português,47.0,2024-11-10
577,29,Matemática,21.5,2024-11-10
578,29,Ciências,75.2,2024-11-10
579,29,História,53.3,2024-11-10
580,29,Geografia,75.8,2024-11-10
581,30,Português,36.8,2024-03-15
582,30,Matemática,41.0,2024-03-15
583,30,Ciências,53.7,2024-03-15
584,30,História,78.1,2024-03-15
585,30,Geografia,59.6,2024-03-15
586,30,Português,70.4,2024-05-20
587,30,Matemática,64.8,2024-05-20
588,30,Ciências,72.4,2024-05-20
589,30,História,67.1,2024-05-20
590,30,Geografia,83.9,2024-05-20
591,30,Português,51.8,2024-08-25
592,30,Matemática,29.9,2024-08-25
593,30,Ciências,58.0,2024-08-25
594,30,História,84.1,2024-08-25
595,30,Geografia,97.4,2024-08-25
596,30,Português,52.2,2024-11-10
597,30,Matemática,44.9,2024-11-10
598,30,Ciências,79.2,2024-11-10
599,30,História,71.9,2024-11-10
600,30,Geografia,84.6,2024-11-10
601,31,Português,62.8,2024-03-15
602,31,Matemática,5.2,2024-03-15
603,31,Ciências,42.8,2024-03-15
604,31,História,49.8,2024-03-15
605,31,Geografia,69.5,2024-03-15
606,31,Português,88.4,2024-05-20
607,31,Matemática,48.0,2024-05-20
608,31,Ciências,44.8,2024-05-20
609,31,História,54.9,2024-05-20
610,31,Geografia,53.7,2024-05-20
611,31,Português,62.5,2024-08-25
612,31,Matemática,17.6,2024-08-25
613,31,Ciências,71.6,2024-08-25
614,31,História,66.0,2024-08-25
615,31,Geografia,73.1,2024-08-25
616,31,Português,21.5,2024-11-10
617,31,Matemática,41.9,2024-11-10
618,31,Ciências,48.3,2024-11-10
619,31,História,76.0,2024-11-10
620,31,Geografia,70.7,2024-11-10
621,32,Português,69.8,2024-03-15
622,32,Matemática,22.4,2024-03-15
623,32,Ciências,64.0,2024-03-15
624,32,História,62.9,2024-03-15
625,32,Geografia,69.2,2024-03-15
626,32,Português,84.6,2024-05-20
627,32,Matemática,63.2,2024-05-20
628,32,Ciências,69.6,2024-05-20
629,32,História,71.2,2024-05-20
630,32,Geografia,71.4,2024-05-20
631,32,Português,34.5,2024-08-25
632,32,Matemática,73.8,2024-08-25
633,32,Ciências,57.3,2024-08-25
634,32,História,75.7,2024-08-25
635,32,Geografia,51.0,2024-08-25
636,32,Português,60.0,2024-11-10
637,32,Matemática,32.7,2024-11-10
638,32,Ciências,53.5,2024-11-10
639,32,História,43.9,2024-11-10
640,32,Geografia,70.2,2024-11-10
641,33,Português,54.0,2024-03-15
642,33,Matemática,41.4,2024-03-15
643,33,Ciências,69.8,2024-03-15
644,33,História,77.7,2024-03-15
645,33,Geografia,72.1,2024-03-15
646,33,Português,33.6,2024-05-20
647,33,Matemática,72.4,2024-05-20
648,33,Ciências,83.0,2024-05-20
649,33,História,52.0,2024-05-20
650,33,Geografia,100.0,2024-05-20
651,33,Português,80.0,2024-08-25
652,33,Matemática,36.3,2024-08-25
653,33,Ciências,70.2,2024-08-25
654,33,História,62.3,2024-08-25
655,33,Geografia,73.1,2024-08-25
656,33,Português,60.8,2024-11-10
657,33,Matemática,74.2,2024-11-10
658,33,Ciências,63.3,2024-11-10
659,33,História,92.5,2024-11-10
660,33,Geografia,75.7,2024-11-10
661,34,Português,60.7,2024-03-15
662,34,Matemática,47.1,2024-03-15
663,34,Ciências,44.9,2024-03-15
664,34,História,87.0,2024-03-15
665,34,Geografia,65.0,2024-03-15
666,34,Português,38.0,2024-05-20
667,34,Matemática,24.3,2024-05-20
668,34,Ciências,46.5,2024-05-20
669,34,História,46.8,2024-05-20
670,34,Geografia,66.9,2024-05-20
671,34,Português,56.5,2024-08-25
672,34,Matemática,33.2,2024-08-25
673,34,Ciências,62.2,2024-08-25
674,34,História,52.7,2024-08-25
675,34,Geografia,70.3,2024-08-25
676,34,Português,56.6,2024-11-10
677,34,Matemática,59.7,2024-11-10
678,34,Ciências,73.5,2024-11-10
679,34,História,71.7,2024-11-10
680,34,Geografia,77.4,2024-11-10
681,35,Português,54.4,2024-03-15
682,35,Matemática,45.9,2024-03-15
683,35,Ciências,91.0,2024-03-15
684,35,História,52.3,2024-03-15
685,35,Geografia,69.6,2024-03-15
686,35,Português,41.7,2024-05-20
687,35,Matemática,12.3,2024-05-20
688,35,Ciências,72.6,2024-05-20
689,35,História,58.2,2024-05-20
690,35,Geografia,72.6,2024-05-20
691,35,Português,54.2,2024-08-25
692,35,Matemática,0.0,2024-08-25
693,35,Ciências,79.3,2024-08-25
694,35,História,80.8,2024-08-25
695,35,Geografia,66.6,2024-08-25
696,35,Português,23.1,2024-11-10
697,35,Matemática,51.0,2024-11-10
698,35,Ciências,68.9,2024-11-10
699,35,História,75.3,2024-11-10
700,35,Geografia,58.9,2024-11-10
701,36,Português,70.6,2024-03-15
702,36,Matemática,49.3,2024-03-15
703,36,Ciências,65.7,2024-03-15
704,36,História,57.4,2024-03-15
705,36,Geografia,74.5,2024-03-15
706,36,Português,78.8,2024-05-20
707,36,Matemática,54.2,2024-05-20
708,36,Ciências,80.2,2024-05-20
709,36,História,29.4,2024-05-20
710,36,Geografia,63.1,2024-05-20
711,36,Português,40.2,2024-08-25
712,36,Matemática,39.9,2024-08-25
713,36,Ciências,78.0,2024-08-25
714,36,História,66.9,2024-08-25
715,36,Geografia,82.8,2024-08-25
716,36,Português,68.1,2024-11-10
717,36,Matemática,72.4,2024-11-10
718,36,Ciências,64.7,2024-11-10
719,36,História,59.4,2024-11-10
720,36,Geografia,63.8,2024-11-10
721,37,Português,77.1,2024-03-15
722,37,Matemática,65.8,2024-03-15
723,37,Ciências,31.3,2024-03-15
724,37,História,69.3,2024-03-15
725,37,Geografia,39.9,2024-03-15
726,37,Português,41.4,2024-05-20
727,37,Matemática,45.0,2024-05-20
728,37,Ciências,57.5,2024-05-20
729,37,História,89.6,2024-05-20
730,37,Geografia,74.0,2024-05-20
731,37,Português,73.2,2024-08-25
732,37,Matemática,52.4,2024-08-25
733,37,Ciências,89.3,2024-08-25
734,37,História,56.5,2024-08-25
